# RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,,
##RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.hookline,entity.priceDisplayValue,entity.priceOriginalValue,entity.dealerLocatorUrl,entity.productGroup,entity.brandValueClass,entity.onlineDate,entity.keyBenefits1,entity.keyBenefits2,entity.keyBenefits3,entity.keyBenefits4,entity.keyBenefits5
DWK98JS69,duvar tipi davlumbazlar,pisirme grubu,DWK98JS69,//media3.bosch-home.com/Product_Shots/600x600/MCSA01743284_STP_DWK98JS69_1181734_def.jpg,9894,https://www.bosch-home.com.tr/urun-listesi/pisirme-grubu/davlumbazlar-ve-aspiratorler/duvar-tipi-davlumbazlar/DWK98JS69?breadcrumb=null,0,0,Eğimli davlumbaz: tencerelerinize göz kulak olması için en uygun.,9.894-00 TL,-,https://www.bosch-home.com.tr/yetkili-saticilar?product=DWK98JS69,Duvar tipi davlumbaz- 90 cm,Serie | 6,0,DirectSelect kontrol: arzulanan güç kademesi ve aydınlatma ayarını hızlı bir şekilde seçebilirsiniz.,Emiş gücü: 840 m3/h- mutfağınızda kaliteli hava olmasını garanti eder.,Home Connect: Bağlı ev aletleri; Yaşam için Teknoloji,PerfectAir sensör: en az ses ile en fazla performans için otomatik ayar.,Yüksek sessizlik: minimum ses ile maksimum performans
DWF97RV60,duvar tipi davlumbazlar,pisirme grubu,DWF97RV60,//media3.bosch-home.com/Product_Shots/600x600/MCSA01743310_STP_DWF97RV60_1181752_def.jpg,9894,https://www.bosch-home.com.tr/urun-listesi/pisirme-grubu/davlumbazlar-ve-aspiratorler/duvar-tipi-davlumbazlar/DWF97RV60?breadcrumb=null,0,0,Flat tasarım davlumbaz: tasarımıyla gözü hep tencerelerinizin üzerindedir.,9.894-00 TL,-,https://www.bosch-home.com.tr/yetkili-saticilar?product=DWF97RV60,-,Serie | 8,0,Control Ring tasarımı ile dijital ekran: uygun ayarlar ve aydınlatma Control Ring'i çevirerek kolayca seçilir.,EcoSilence Drive: yüksek verimli motorumuz- performanstan değil enerjiden tasarruf etmenizi sağlar.,LED aydınlatma: enerji verimliliği sayesinde ocağın mükemmel bir şekilde aydınlatılmasını sağlar.,Özellikle sessiz: yüksek performansta sadece 44 dB ses basıncı.,Emiş gücü: 717 m3/h- mutfağınızda kaliteli hava olmasını garanti eder.
KAN90VI20N,gardirop tipi buzdolaplari3,buzdolaplari derin dondurucular,NoFrost- Gardırop Tipi Buzdolabı,//media3.bosch-home.com/Product_Shots/600x600/MCSA00762054_E6359_KAN90VI20G_407042_def.jpg,8161,https://www.bosch-home.com.tr/urun-listesi/buzdolaplari-derin-dondurucular/gardirop-tipi-buzdolaplari/gardirop-tipi-buzdolaplari3/KAN90VI20N?breadcrumb=null,0,0,622 litre iç hacme ve MultiBox tazelik sistemine sahip NoFrost gardırop tipi buzdolabı- kalabalık aileler ve haftalık alışveriş yapanlar için daha fazla saklama kapasitesi sunarken yiyeceklerin daha uzun süre taze kalmalarını sağlar.,8.161-00 TL,9.675-00 TL,https://www.bosch-home.com.tr/yetkili-saticilar?product=KAN90VI20N,Kolay temizlenebilir inox kapılar,Serie | 2,1482879600,MultiBox çekmecesinin dalgalı tabanı sayesinde meyve ve sebzeler standart tazelik sistemlerine göre daha uzun süre taze kalır.,MultiAirflow hava akış sistemi sayesinde buzdolabının içerisindeki her noktada eşit soğutma sağlanır.,Optimum konumu sayesinde aydınlık bir iç ortam sunarken gölgelenmeyi de engelleyen LED aydınlatmanın cihazın ömrü boyunca değiştirilmesi gerekmez.,A+ enerji sınıfı ile A enerji sınıfı buzdolaplarına göre %20 daha az enerji harcar.,
KGN56HB40N,alttan donduruculu buzdolaplari,buzdolaplari derin dondurucular,NoFrost- Alttan donduruculu buzdolabı,//media3.bosch-home.com/Product_Shots/600x600/MCSA00922377_F4710_KGN56SB40N_552976_def.jpg,7921,https://www.bosch-home.com.tr/urun-listesi/buzdolaplari-derin-dondurucular/buzdolaplari/alttan-donduruculu-buzdolaplari/KGN56HB40N?breadcrumb=null,0,0,554 litre geniç iç hacme ve VitaFresh pro tazelik sistemine sahip NoFrost kombi buzdolabı- yiyecekleriniz için çok daha fazla saklama kapasitesi sunarken üç kata kadar daha uzun süre taze kalmalarını sağlar!,7.921-00 TL,9.390-00 TL,https://www.bosch-home.com.tr/yetkili-saticilar?product=KGN56HB40N,Home Connect,Serie | 8,1482879600,Wi-Fi destekli HomeConnect özelliği sayesinde buzdolabınızı dilediğiniz yerden kontrol etmenin kolaylığını yaşayın !,Buzdolabının içine ve dışına yerleştirilmiş sensörler sürekli olarak sıcaklık ölçümü yaparak dalgalanmaları en aza indirip çok daha uzun süre tazeliği garantilerler.,Hem sıcaklık hem de nem kontrolü sayesinde VitaFresh pro 0°C tazelik sistemi meyve- sebze ve et- balık gibi yiyeceklerinizi 3 kata kadar daha uzun süre taze saklar.,Optimum konuma yerleştirilmiş LED yan aydınlatma- meyve ve sebze çekmecesini aydınlatan LED spot aydınlatmayla birlikte buzdolabında çok daha aydınlık bir iç ortam sağlar.,Özel fonksiyon ayarlarına sahip kapıya entegre LCD elektronik hem buzdolabı hem de dondurucu sıcaklığını kolayca ayarlamayı sağlar.
HBG656ES6,ankastre firinlar,pisirme grubu,Inox,//media3.bosch-home.com/Product_Shots/600x600/MCSA01073497_662685_HBG676ES6_def.jpg,9202,https://www.bosch-home.com.tr/urun-listesi/pisirme-grubu/ankastre-firinlar/ankastre-firinlar/HBG656ES6?breadcrumb=null,0,0,PerfectBake ve PerfectRoast özelliklerine sahip ankastre fırın: otomatik olarak mükemmel pişirme ve rosto sonuçları alabilirsiniz.,9.202-00 TL,-,https://www.bosch-home.com.tr/yetkili-saticilar?product=HBG656ES6,HomeConnect ile uzaktan erişim,Serie | 8,0,PerfectBakeSensörü ve PerfectRoast et termometresi: mükemmel pişirme ve rosto sonuçları almanın en kolay yolu.,4D hot Air: her raf seviyesinde mükemmel sonuçlar için homojen ısı dağılımı,DishAssist: sayısız yemek türü için otomatik olarak ayarlanmış program- ısı ve zaman ayarı.,TFT dokunmatik ekran: yüksek çözünürlüklü ekran- control ring sayesinde kolay kullanım,Home Connect: akıllı ev aletleri ile daha rahat bir yaşam
B1ZMX24501,klimalar,klimalar ve ev konforu,Salon Tipi- 24.000 Btu Sınıfı- İnverter A++ Enerji Sınıfı Klima.,//media3.bosch-home.com/Product_Shots/600x600/MCSA02082194_IMG_9991_def.jpg,9162,https://www.bosch-home.com.tr/urun-listesi/klimalar-ve-ev-konforu/klimalar/B1ZMX24501?breadcrumb=null,0,0,Cafe- Restorant- Toplantı salonları- camiler gibi büyük alanlarda kullanıma uygundur.,9.162-00 TL,-,https://www.bosch-home.com.tr/yetkili-saticilar?product=B1ZMX24501,B1ZMI24501 iç ünite ile B1ZMA24501 dış üniteyi içerir.,-,1516834800,Programların başkaları tarafından değiştirilmesi yada küçük çocukların klima programları ile oynamaması için çocuk kiliti bulunmaktadır.,0-24 saat arası programlama özelliği,,,
B1ZMX24725,klimalar,klimalar ve ev konforu,Ev Tipi- 24.000 Btu Sınıfı- İnverter A++ Enerji Sınıfı Klima.,//media3.bosch-home.com/Product_Shots/600x600/MCSA01750218_B1ZMAI09725-12725-18725-24725_def.jpg,8663,https://www.bosch-home.com.tr/urun-listesi/klimalar-ve-ev-konforu/klimalar/B1ZMX24725?breadcrumb=null,0,0,İç ünitede 12 farklı fan kademesi sayesinde odada tam istenilen konforda hava akışı sağlanır,8.663-00 TL,-,https://www.bosch-home.com.tr/yetkili-saticilar?product=B1ZMX24725,B1ZMI24725 iç ünite ile B1ZMA24725 dış üniteyi içerir.,-,1516834800,Wi-Fi Kontrol: ister akıllı telefonunuzdan ister bilgisayarınızdan internet üzerinden bulunduğunuz yerden - uzaktan kumanda ile yaptığınız tüm işlemleri yapabilir- odalarınızı eve ulaşmadan ısıtır/soğutabilirsiniz.,Soğutmada Enerji Verimlilik Sınıfı : A++,Enerji verimlilik değerleri bağımsız Alman test kuruşu TÜV-SÜD tarafından kontrol edilmiş ve onaylanmıştır.,Bilgisayar kontrol odaları yada güç merkezleri gibi devamlı serin tutulması gereken yerlerde iç ünitenin donup teçhizata zarar vermesini engellemek adına dış ünite fanının hızı-yoğunlaştırıcının ısısına göre değiştirilerek klimanın çok düşük dış ortam ısılarında dahi soğutma yapabilmesi sağlanır.,
CDG634BS1,buharli pisiriciler,pisirme grubu,Inox,//media3.bosch-home.com/Product_Shots/600x600/MCSA00789722_436176_CDG634BS1_def.jpg,8617,https://www.bosch-home.com.tr/urun-listesi/pisirme-grubu/buhar-destekli-firinlar/buharli-pisiriciler/CDG634BS1?breadcrumb=null,0,0,Buharlı pişirici: gıdalarınızı tüm aroma ve vitaminlerini koruyarak hazırlamanızı sağlar,8.617-00 TL,-,https://www.bosch-home.com.tr/yetkili-saticilar?product=CDG634BS1,-,Serie | 8,0,Buhar fonksiyonu: sağlıklı yiyecekler hazırlamak için,AutoPilot 20: Önceden tanımlanmış olan 20 adet otomatik program sayesinde mükemmel sonuçlar,TFT ekran: control ring sayesinde kolay kullanım,SoftOpen & SoftClose: kolayca açılıp kapanan fırın kapısı,
KGN56LW30N,alttan donduruculu buzdolaplari,buzdolaplari derin dondurucular,NoFrost- Alttan donduruculu buzdolabı,//media3.bosch-home.com/Product_Shots/600x600/MCSA00922375_F4708_KGN56LW30N_552974_def.jpg,7210,https://www.bosch-home.com.tr/urun-listesi/buzdolaplari-derin-dondurucular/buzdolaplari/alttan-donduruculu-buzdolaplari/KGN56LW30N?breadcrumb=null,0,0,559 litre geniç iç hacme ve VitaFresh plus tazelik sistemine sahip NoFrost kombi buzdolabı- yiyecekleriniz için çok daha fazla saklama kapasitesi sunarken iki kata kadar daha uzun süre taze kalmalarını sağlar!,7.210-00 TL,8.546-00 TL,https://www.bosch-home.com.tr/yetkili-saticilar?product=KGN56LW30N,-,Serie | 6,1482879600,A++ enerji sınıfı ile A enerji sınıfı buzdolaplarına göre %40 daha az enerji harcar.,Ayarlanabilir nem kontrol mekanizmasına sahip sürgülü ve tamamen kapanabilen VitaFresh plus çekmecesi sayesinde meyve ve sebzeler en uygun nem oranında iki katına kadar daha uzun süre taze kalır.,"Ayarlanabilir sıcaklık mekanizması sayesinde VitaFresh plus ""<>"" 0°C çekmecesinde kahvaltılıklarınız- et ve balık gibi hassas yiyecekleriniz 2 kata kadar daha uzun süre taze kaldığı gibi ihtiyaç duyulmadığında çekmeceler kolayca çıkartılıp buzdolabınızda daha fazla kullanım alanı yaratılabilir.",Optimum konumu sayesinde aydınlık bir iç ortam sunarken gölgelenmeyi de engelleyen LED aydınlatmanın cihazın ömrü boyunca değiştirilmesi gerekmez.,Optimum konuma yerleştirilmiş LED yan aydınlatma- meyve ve sebze çekmecesini aydınlatan LED spot aydınlatmayla birlikte buzdolabında çok daha aydınlık bir iç ortam sağlar.
KGN56LB30N,alttan donduruculu buzdolaplari,buzdolaplari derin dondurucular,NoFrost- Alttan donduruculu buzdolabı,//media3.bosch-home.com/Product_Shots/600x600/MCSA03020104_J3056_2335948_KGN56LB30N_def.jpg,7210,https://www.bosch-home.com.tr/urun-listesi/buzdolaplari-derin-dondurucular/buzdolaplari/alttan-donduruculu-buzdolaplari/KGN56LB30N?breadcrumb=null,0,0,559 litre geniç iç hacme ve VitaFresh plus tazelik sistemine sahip NoFrost kombi buzdolabı- yiyecekleriniz için çok daha fazla saklama kapasitesi sunarken iki kata kadar daha uzun süre taze kalmalarını sağlar!,7.210-00 TL,8.546-00 TL,https://www.bosch-home.com.tr/yetkili-saticilar?product=KGN56LB30N,-,Serie | 6,1482879600,A++ enerji sınıfı ile A enerji sınıfı buzdolaplarına göre %40 daha az enerji harcar.,Ayarlanabilir nem kontrol mekanizmasına sahip sürgülü ve tamamen kapanabilen VitaFresh plus çekmecesi sayesinde meyve ve sebzeler en uygun nem oranında iki katına kadar daha uzun süre taze kalır.,"Ayarlanabilir sıcaklık mekanizması sayesinde VitaFresh plus ""<>"" 0°C çekmecesinde kahvaltılıklarınız- et ve balık gibi hassas yiyecekleriniz 2 kata kadar daha uzun süre taze kaldığı gibi ihtiyaç duyulmadığında çekmeceler kolayca çıkartılıp buzdolabınızda daha fazla kullanım alanı yaratılabilir.",Optimum konuma yerleştirilmiş LED yan aydınlatma- meyve ve sebze çekmecesini aydınlatan LED spot aydınlatmayla birlikte buzdolabında çok daha aydınlık bir iç ortam sağlar.,Özel fonksiyon ayarlarına sahip kapıya entegre LCD elektronik hem buzdolabı hem de dondurucu sıcaklığını kolayca ayarlamayı sağlar.
